,x,y,angle
96,1.63204,4.8216,-0.16799716413609478
97,1.50328,4.82145,-0.10679978097388698
98,1.37454,4.82129,0.3627232883169579
99,1.24582,4.82164,1.0148548055937345
100,1.11706,4.82249,1.4672821481540546
101,0.98829,4.82279,2.3023205909225544
102,0.85963,4.82043,4.073129845626192
103,0.73102,4.81482,5.73412099430557
104,0.60254,4.80519,6.531845166346922
105,0.47533,4.78623,7.092201302297847
106,0.35086,4.75376,7.570334513125869
107,0.23074,4.70744,7.530872939212634
108,0.11731,4.64677,7.071741307942888
109,0.0132,4.57125,6.571776131387669
110,-0.08005,4.48258,6.297867364093899
111,-0.16162,4.38309,6.3028889092784315
112,-0.23145,4.27499,6.3666063095593035
113,-0.28916,4.15999,6.016272122608652
114,-0.33396,4.03934,4.847199653867957
115,-0.36492,3.91447,3.6374114615689597
116,-0.382,3.78692,3.3191746817077252
117,-0.38788,3.65831,3.842004435475263
118,-0.38691,3.52942,5.1932203198169535
119,-0.37823,3.40084,6.754931663788715
120,-0.36202,3.27309,7.504826395325024
121,-0.3343,3.14754,7.217202930656382
122,-0.2915,3.02637,6.554274218247656
123,-0.23256,2.91201,6.464422910280682
124,-0.15929,2.80587,7.211857582322279
125,-0.07488,2.70853,7.832555200681408
126,0.01953,2.62104,7.138540441761658
127,0.12386,2.54597,5.383554619344302
128,0.23814,2.48707,3.5475552491514657
129,0.35908,2.44313,2.04812076082228
130,0.48372,2.41084,0.2665742613862995
131,0.61002,2.38583,-2.356561284135255
132,0.73711,2.36546,-5.181550329835841
133,0.86442,2.3466,-7.337973560822374
134,0.99091,2.32244,-8.436161462341097
135,1.11453,2.28664,-8.594059599347357
136,1.2321,2.23466,-8.178621048163233
137,1.34058,2.16554,-7.437147281096646
138,1.43733,2.08071,-6.5191659211643405
139,1.52092,1.98292,-5.608784737089764
140,1.59099,1.8751,-4.892995521231959
141,1.64848,1.75994,-4.105235706957117
142,1.69455,1.6397,-2.1577194328679266
143,1.73034,1.51615,0.7622177299210444
144,1.75658,1.39016,2.4476989175814583
145,1.77663,1.26284,3.025238994940965
146,1.79973,1.13631,4.642403969886845
147,1.82957,1.01122,6.507368687919629
148,1.8644,0.887,6.896620688590289
149,1.90882,0.76627,6.550781144120884
150,1.96812,0.65233,6.767048057775316
151,2.04087,0.54618,7.811774494024174
152,2.12507,0.4487,8.69850896922984
